Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, NT/ST: --me 0.8 --ae 0.2, OT/AT: --me 1.6 --ae 0.4
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 635, +S0):
  sc         Главных    Внутр.
  ------------------------------
  1.128          229      1867
  1.1280         229      1867
  1.12800        229      1867
  1.128000       229      1867
  1.128001       229      1867
  1.128002       229      1867
  1.128003       229      1867
  1.128004       229      1867
  1.128005       229      1867
  1.128006       229      1867
  1.128007       229      1867
  1.128008       229      1867
  1.128009       229      1867
  1.12801        229      1867
  1.128010       229      1867
  1.128011       229      1867
  1.128012       229      1867
  1.128013       229      1867
  1.128014       229      1867
  1.128015       229      1867
  1.128016       229      1867
  1.128017       229      1867
  1.128018       229      1867
  1.128019       229      1867
  1.12802        229      1867
  1.128020       229      1867
  1.128021       229      1867
  1.128022       229      1867
  1.128023       229      1867
  1.128024       229      1867
  1.128025       229      1867
  1.128026       229      1867
  1.128027       229      1867
  1.128028       229      1867
  1.128029       229      1867
  1.12803        229      1867
  1.128030       229      1867
  1.128031       229      1867
  1.128032       229      1867
  1.128033       229      1867
  1.128034       229      1867
  1.128035       229      1867
  1.128036       229      1867
  1.128037       229      1867
  1.128038       229      1867
  1.128039       229      1867
  1.12804        229      1867
  1.128040       229      1867
  1.128041       229      1867
  1.128042       229      1867
  1.128043       229      1867
  1.128044       229      1867
  1.128045       229      1867
  1.128046       229      1867
  1.128047       229      1867
  1.128048       229      1867
  1.128049       229      1867
  1.12805        229      1867
  1.128050       229      1867
  1.128051       229      1867
  1.128052       229      1867
  1.128053       229      1867
  1.128054       229      1867
  1.128055       229      1867
  1.128056       229      1867
  1.128057       229      1867
  1.128058       229      1867
  1.128059       229      1867
  1.12806        229      1867
  1.128060       229      1867
  1.128061       229      1867
  1.128062       229      1867
  1.128063       229      1867
  1.128064       229      1867
  1.128065       229      1867
  1.128066       229      1867
  1.128067       229      1867
  1.128068       229      1867
  1.128069       229      1867
  1.12807        229      1867
  1.128070       229      1867
  1.128071       229      1867
  1.128072       229      1867
  1.128073       229      1867
  1.128074       229      1867
  1.128075       229      1867
  1.128076       229      1867
  1.128077       229      1867
  1.128078       229      1867
  1.128079       229      1867
  1.12808        229      1867
  1.128080       229      1867
  1.128081       229      1867
  1.128082       229      1867
  1.128083       229      1867
  1.128084       229      1867
  1.128085       229      1867
  1.128086       229      1867
  1.128087       229      1867
  1.128088       229      1867
  1.128089       229      1867
  1.12809        229      1867
  1.128090       229      1867
  1.128091       229      1867
  1.128092       229      1867
  1.128093       229      1867
  1.128094       229      1867
  1.128095       229      1867
  1.128096       229      1867
  1.128097       229      1867
  1.128098       229      1867
  1.128099       229      1867
  1.1281         229      1867
  1.12810        229      1867
  1.128100       229      1867
  1.128101       229      1867
  1.128102       229      1867
  1.128103       229      1867
  1.128104       229      1867
  1.128105       229      1867
  1.128106       229      1867
  1.128107       229      1867
  1.128108       229      1867
  1.128109       229      1867
  1.12811        229      1867
  1.128110       229      1867
  1.128111       229      1867
  1.128112       229      1867
  1.128113       229      1867
  1.128114       229      1867
  1.128115       229      1867
  1.128116       229      1867
  1.128117       229      1867
  1.128118       229      1867
  1.128119       229      1867
  1.12812        229      1867
  1.128120       229      1867
  1.128121       229      1867
  1.128122       229      1867
  1.128123       229      1867
  1.128124       229      1867
  1.128125       229      1867
  1.128126       229      1867
  1.128127       229      1867
  1.128128       229      1867
  1.128129       229      1867
  1.12813        229      1867
  1.128130       229      1867
  1.128131       229      1867
  1.128132       229      1867
  1.128133       229      1867
  1.128134       229      1867
  1.128135       229      1867
  1.128136       229      1867
  1.128137       229      1867
  1.128138       229      1867
  1.128139       229      1867
  1.12814        229      1867
  1.128140       229      1867
  1.128141       229      1867
  1.128142       229      1867
  1.128143       229      1867
  1.128144       229      1867
  1.128145       229      1867
  1.128146       229      1867
  1.128147       229      1867
  1.128148       229      1867
  1.128149       229      1867
  1.12815        229      1867
  1.128150       229      1867
  1.128151       229      1867
  1.128152       229      1867
  1.128153       229      1867
  1.128154       229      1867
  1.128155       229      1867
  1.128156       229      1867
  1.128157       229      1867
  1.128158       229      1867
  1.128159       229      1867
  1.12816        229      1867
  1.128160       229      1867
  1.128161       229      1867
  1.128162       229      1867
  1.128163       229      1867
  1.128164       229      1867
  1.128165       229      1867
  1.128166       229      1867
  1.128167       229      1867
  1.128168       229      1867
  1.128169       229      1867
  1.12817        229      1867
  1.128170       229      1867
  1.128171       229      1867
  1.128172       229      1867
  1.128173       229      1867
  1.128174       229      1867
  1.128175       229      1867
  1.128176       229      1867
  1.128177       229      1867
  1.128178       229      1867
  1.128179       229      1867
  1.12818        229      1867
  1.128180       229      1867
  1.128181       229      1867
  1.128182       229      1867
  1.128183       229      1867
  1.128184       229      1867
  1.128185       229      1867
  1.128186       229      1867
  1.128187       229      1867
  1.128188       229      1867
  1.128189       229      1867
  1.12819        229      1867
  1.128190       229      1867
  1.128191       229      1867
  1.128192       229      1867
  1.128193       229      1867
  1.128194       229      1867
  1.128195       229      1867
  1.128196       229      1867
  1.128197       229      1867
  1.128198       229      1867
  1.128199       229      1867
  1.1282         229      1867
  1.12820        229      1867
  1.128200       229      1867
  1.128201       229      1867
  1.128202       229      1867
  1.128203       229      1867
  1.128204       229      1867
  1.128205       229      1867
  1.128206       229      1867
  1.128207       229      1867
  1.128208       229      1867
  1.128209       229      1867
  1.12821        229      1867
  1.128210       229      1867
  1.128211       229      1867
  1.128212       229      1867
  1.128213       229      1867
  1.128214       229      1867
  1.128215       229      1867
  1.128216       229      1867
  1.128217       229      1867
  1.128218       229      1867
  1.128219       229      1867
  1.12822        229      1867
  1.128220       229      1867
  1.128221       229      1867
  1.128222       229      1867
  1.128223       229      1867
  1.128224       229      1867
  1.128225       229      1867
  1.128226       229      1867
  1.128227       229      1867
  1.128228       229      1867
  1.128229       229      1867
  1.12823        229      1867
  1.128230       229      1867
  1.128231       229      1867
  1.128232       229      1867
  1.128233       229      1867
  1.128234       229      1867
  1.128235       229      1867
  1.128236       229      1867
  1.128237       229      1867
  1.128238       229      1867
  1.128239       229      1867
  1.12824        229      1867
  1.128240       229      1867
  1.128241       229      1867
  1.128242       229      1867
  1.128243       229      1867
  1.128244       229      1867
  1.128245       229      1867
  1.128246       229      1867
  1.128247       229      1867
  1.12825        229      1867
  1.12826        229      1867
  1.12827        229      1867
  1.12828        229      1867
  1.12829        229      1867
  1.1283         229      1867
  1.12830        229      1867
  1.12831        229      1867
  1.12832        229      1867
  1.12833        229      1867
  1.12834        229      1867
  1.12835        229      1867
  1.12836        229      1867
  1.12837        229      1867
  1.12838        229      1867
  1.12839        229      1867
  1.1284         229      1867
  1.12840        229      1867
  1.12841        229      1867
  1.12842        229      1867
  1.12843        229      1867
  1.12844        229      1867
  1.12845        229      1867
  1.12846        229      1867
  1.12847        229      1867
  1.12848        229      1867
  1.12849        229      1867
  1.1285         229      1867
  1.12850        229      1867
  1.12851        229      1867
  1.12852        229      1867
  1.12853        229      1867
  1.12854        229      1867
  1.12855        229      1867
  1.12856        229      1867
  1.12857        229      1867
  1.12858        229      1867
  1.12859        229      1867
  1.1286         229      1867
  1.12860        229      1867
  1.12861        229      1867
  1.12862        229      1867
  1.12863        229      1867
  1.12864        229      1867
  1.12865        229      1867
  1.12866        229      1867
  1.12867        229      1867
  1.12868        229      1867
  1.12869        229      1867
  1.1287         229      1867
  1.12870        229      1867
  1.12871        229      1867
  1.12872        229      1867
  1.12873        229      1867
  1.12874        229      1867
  1.12875        229      1867
  1.12876        229      1867
  1.12877        229      1867
  1.12878        229      1867
  1.12879        229      1867
  1.1288         229      1867
  1.12880        229      1867
  1.12881        229      1867
  1.12882        229      1867
  1.12883        229      1867
  1.12884        229      1867
  1.12885        229      1867
  1.12886        229      1867
  1.12887        229      1867
  1.12888        229      1867
  1.12889        229      1867
  1.1289         229      1867
  1.12890        229      1867
  1.12891        229      1867
  1.12892        229      1867
  1.12893        229      1867
  1.12894        229      1867
  1.12895        229      1867
  1.12896        229      1867
  1.12897        229      1867
  1.12898        229      1867
  1.12899        229      1867
  1.129          229      1867
  1.1290         229      1867
  1.12900        229      1867
  1.12901        229      1867
  1.12902        229      1867
  1.12903        229      1867
  1.12904        229      1867
  1.12905        229      1867
  1.12906        229      1867
  1.12907        229      1867
  1.12908        229      1867
  1.12909        229      1867
  1.1291         229      1867
  1.12910        229      1867
  1.12911        229      1867
  1.12912        229      1867
  1.12913        229      1867
  1.12914        229      1867
  1.12915        229      1867
  1.12916        229      1867
  1.12917        229      1867
  1.12918        229      1867
  1.12919        229      1867
  1.1292         229      1867
  1.12920        229      1867
  1.12921        229      1867
  1.12922        229      1867
  1.12923        229      1867
  1.12924        229      1867
  1.12925        229      1867
  1.12926        229      1867
  1.12927        229      1867
  1.12928        229      1867
  1.12929        229      1867
  1.1293         229      1867
  1.12930        229      1867
  1.12931        229      1867
  1.12932        229      1867
  1.12933        229      1867
  1.12934        229      1867
  1.12935        229      1867
  1.12936        229      1867
  1.12937        229      1867
  1.12938        229      1867
  1.12939        229      1867
  1.1294         229      1867
  1.12940        229      1867
  1.12941        229      1867
  1.12942        229      1867
  1.12943        229      1867
  1.1295         229      1867
  1.1296         229      1867
  1.1297         229      1867
  1.1298         229      1867
  1.1299         229      1867
  1.13           229      1867
  1.130          229      1867
  1.1300         229      1867
  1.1301         229      1867
  1.1302         229      1867
  1.1303         229      1867
  1.1304         229      1867
  1.1305         229      1867
  1.1306         229      1867
  1.1307         229      1867
  1.1308         229      1867
  1.133          229      1867
  1.1330         229      1867
  1.1331         229      1867
  1.1332         229      1867
  1.1333         229      1867
  1.1334         229      1867
  1.1335         229      1867
  1.1336         229      1867
  1.1337         229      1867
  1.1338         229      1867
  1.1339         229      1867
  1.134          229      1867
  1.1340         229      1867
  1.1341         229      1867
  1.1342         229      1867
  1.1343         229      1867
  1.1344         229      1867
  1.1345         229      1867
  1.1346         229      1867
  1.1347         229      1867
  1.1348         229      1867
  1.127          229      1868
  1.1309         229      1868
  1.131          229      1868
  1.132          229      1868
  1.1349         229      1868
  1.135          229      1868
  1.138          229      1868
  1.145          229      1868
  1.146          229      1868
  1.097          229      1869
  1.126          229      1869
  1.136          229      1869
  1.137          229      1869
  1.144          229      1869
  1.096          229      1870
  1.099          229      1870
  1.125          229      1870
  1.148          229      1870
  1.098          229      1871
  1.10           229      1871
  1.100          229      1871
  1.12           229      1871
  1.120          229      1871
  1.121          229      1871
  1.123          229      1871
  1.124          229      1871
  1.147          229      1871
  1.149          229      1871
  1.095          229      1872
  1.122          229      1872
  1.139          229      1872
  1.14           229      1872
  1.140          229      1872
  1.141          229      1872
  1.142          229      1872
  1.143          229      1872
  1.15           229      1872
  1.150          229      1872
  1.154          229      1872
  1.084          228      1873
  1.094          229      1873
  1.11           229      1873
  1.152          229      1873
  1.153          229      1873
  1.156          229      1873
  1.157          229      1873
  1.158          229      1873
  1.159          229      1873
  1.085          228      1874
  1.086          228      1874
