Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, базовые NT/ST: --me 1.6 --ae 0.4, OT/AT: ×2
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 50):
  sc         Главных    Внутр.
  ------------------------------
  1.15           100        770
  1.15           100        770
  1.15           100        770
  1.1501         100        770
  1.1502         100        770
  1.1503         100        770
  1.1504         100        770
  1.1505         100        770
  1.1506         100        770
  1.1507         100        770
  1.1508         100        770
  1.1            101        771
  1.1            101        771
  1.152          100        771
  1.153          100        771
  1.19           101        771
  1.2            101        771
  1.2            101        771
  1.23           101        771
  1.24           101        771
  1.11           101        772
  1.1509         100        772
  1.151          100        772
  1.17           101        772
  1.12           101        773
  1.154          101        773
  1.155          101        773
  1.156          101        773
  1.16           101        773
  1.157          101        774
  1.158          101        774
  1.159          101        774
  1.14           100        775
  1.18           101        775
  1.22           101        775
  1.13           100        776
  1.21           101        777
  1.26           101        777
  1.27           101        777
  1.28           101        777
  1.25           101        778
  1.29           101        778
  1              101        779
  1.3            101        779
  1.5            100        783
  1.6             99        789
  1.7            102        796
  1.4            101        801
  1.8            103        816
  1.9            107        842

OT (прогонов: 40):
  sc         Главных    Внутр.
  ------------------------------
  1.504           62        526
  1.504           62        526
  1.5041          62        526
  1.5042          62        526
  1.5043          62        526
  1.5044          62        526
  1.5045          62        526
  1.5046          62        526
  1.502           62        527
  1.503           62        527
  1.5047          62        527
  1.5048          62        527
  1.5049          62        527
  1.505           62        527
  1.5             62        528
  1.5             62        528
  1.5             62        528
  1.501           62        528
  1.506           62        528
  1.507           62        529
  1.508           62        529
  1.51            62        529
  1.509           62        530
  1.52            63        531
  1.1             65        532
  1.2             66        534
  1.53            63        534
  1.56            63        536
  1.6             63        536
  1.54            63        537
  1.57            63        537
  1.7             68        537
  1.58            63        538
  1               66        539
  1.4             63        540
  1.55            63        540
  1.59            63        540
  1.3             65        546
  1.8             69        570
  1.9             73        601

ST (прогонов: 190):
  sc         Главных    Внутр.
  ------------------------------
  1.1             40        283
  1.1             40        283
  1.1             40        283
  1.1             40        283
  1.1001          40        283
  1.1002          40        283
  1.1003          40        283
  1.1004          40        283
  1.1005          40        283
  1.1006          40        283
  1.1007          40        283
  1.1008          40        283
  1.1009          40        283
  1.101           40        283
  1.101           40        283
  1.1011          40        283
  1.1012          40        283
  1.1013          40        283
  1.1014          40        283
  1.1015          40        283
  1.1016          40        283
  1.1017          40        283
  1.1018          40        283
  1.1019          40        283
  1.102           40        283
  1.102           40        283
  1.1021          40        283
  1.1022          40        283
  1.1023          40        283
  1.1024          40        283
  1.1025          40        283
  1.1026          40        283
  1.1027          40        283
  1.1028          40        283
  1.1029          40        283
  1.103           40        283
  1.103           40        283
  1.1031          40        283
  1.1032          40        283
  1.1033          40        283
  1.1034          40        283
  1.1035          40        283
  1.1036          40        283
  1.1037          40        283
  1.1038          40        283
  1.1039          40        283
  1.104           40        283
  1.104           40        283
  1.1041          40        283
  1.1042          40        283
  1.1043          40        283
  1.1044          40        283
  1.1045          40        283
  1.1046          40        283
  1.1047          40        283
  1.1048          40        283
  1.1049          40        283
  1.105           40        283
  1.105           40        283
  1.1051          40        283
  1.1052          40        283
  1.1053          40        283
  1.1054          40        283
  1.1055          40        283
  1.1056          40        283
  1.1057          40        283
  1.1058          40        283
  1.1059          40        283
  1.106           40        283
  1.106           40        283
  1.1061          40        283
  1.1062          40        283
  1.1063          40        283
  1.1064          40        283
  1.1065          40        283
  1.1066          40        283
  1.1067          40        283
  1.1068          40        283
  1.1069          40        283
  1.107           40        283
  1.107           40        283
